Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
default         _gateway        0.0.0.0         UG        0 0          0 enp0s3
10.0.2.0        0.0.0.0         255.255.255.0   U         0 0          0 enp0s3
link-local      0.0.0.0         255.255.0.0     U         0 0          0 enp0s3
    0.0.0.0         240.0.0.0       U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 lo
255.255.255.255 0.0.0.0         255.255.255.255 U         0 0          0 wifi0
224.0.0.0       0.0.0.0         240.0.0.0       U         0 0          0 wifi0
0.0.0.0         192.168.43.1    255.255.255.255 U         0 0          0 wifi0
192.168.43.255  0.0.0.0         255.255.255.255 U         0 0          0 wifi0
192.168.43.0    0.0.0.0         255.255.255.0   U         0 0          0 wifi0
192.168.43.206  0.0.0.0         255.255.255.255 U         0 0          0 wifi0
